date,ticker,NewsCount,NewsTone
2022-06-11,FB,2306,-0.0098350545030881937
2022-06-11,NVDA,53,-0.024676905852947021
2022-06-11,TSLA,204,-0.013257851668882296
2022-06-12,AAPL,184,0.0019777886522206641
2022-06-12,AMZN,309,-0.022229836170684567
2022-06-12,FB,2043,-0.0091994893936124689
2022-06-12,NVDA,40,-0.019680791259784162
2022-06-12,TSLA,156,-0.010858903839402502
2022-06-13,AAPL,501,0.0048196072532178842
2022-06-13,AMZN,1233,-0.020167195288598547
2022-06-13,FB,3053,-0.0077516303161241822
2022-06-13,NVDA,69,-0.017002778285994096
2022-06-13,TSLA,198,-0.0050951049396718712
2022-06-14,AAPL,723,0.0093375079763480355
2022-06-14,AMZN,674,-0.0081032587794561753
2022-06-14,FB,4025,-0.0092271219072370559
2022-06-14,NVDA,93,-0.019304281811120844
2022-06-14,TSLA,217,-0.0097927335746096
2022-06-15,AAPL,506,0.0059458108563947036
2022-06-15,AMZN,760,-0.017076928011395917
2022-06-15,FB,3854,-0.011488777321387467
2022-06-15,NVDA,76,-0.018028820206970136
2022-06-15,TSLA,364,-0.012498991025303038
2022-06-16,AAPL,445,0.00394553311811345
2022-06-16,AMZN,1912,-0.019732308530077347
2022-06-16,FB,3958,-0.008548869393873863
2022-06-16,NVDA,104,-0.016562934926207425
2022-06-16,TSLA,360,-0.013502186562356229
2022-06-17,AAPL,428,0.0081326215778144816
2022-06-17,AMZN,763,-0.010319238965510121
2022-06-17,FB,3871,-0.01344240642419943
2022-06-17,NVDA,73,-0.0071949440025926474
2022-06-17,TSLA,310,-0.023665027105467969
2022-06-18,AAPL,151,0.0064466459803941565
2022-06-18,AMZN,573,-0.03615848706011722
2022-06-18,FB,2307,-0.0097497758449001642
2022-06-18,NVDA,45,-0.014178093362025636
2022-06-18,TSLA,103,-0.00687972439381894
2022-06-19,AAPL,1012,0.0032238687151027409
2022-06-19,AMZN,280,-0.016446308507228707
2022-06-19,FB,2032,-0.0052700042158101345
2022-06-19,NVDA,37,-0.014704840741412768
2022-06-19,TSLA,143,-0.022044673359908992
2022-06-20,AAPL,464,0.006266881664874005
2022-06-20,AMZN,365,-0.011617146193901815
2022-06-20,FB,3438,-0.0068139574700662878
2022-06-20,NVDA,71,-0.00895846125385591
2022-06-20,TSLA,165,-0.0094437354554401352
2022-06-21,AAPL,435,0.0091875900969067229
2022-06-21,AMZN,430,0.00472885899185007
2022-06-21,FB,3541,-0.0063256290002453239
2022-06-21,NVDA,79,-0.0040695676173848417
2022-06-21,TSLA,519,-0.024606286332128843
2022-06-22,AAPL,413,0.011493541472016377
2022-06-22,AMZN,611,0.001556276152990156
2022-06-22,FB,4149,-0.01056073615785747
2022-06-22,NVDA,95,-0.0069895799268955552
2022-06-22,TSLA,366,-0.021221871496983753
2022-06-23,AAPL,385,0.0036833644245318382
2022-06-23,AMZN,768,0.0017456405042141888
2022-06-23,FB,3762,-0.010120400308342822
2022-06-23,NVDA,97,-0.0144079579096062
2022-06-23,TSLA,555,-0.027270623996642516
2022-06-24,AAPL,486,0.00028079952709792789
2022-06-24,AMZN,806,0.0028783841611930571
2022-06-24,FB,3480,-0.012571851808685653
2022-06-24,NVDA,93,-0.0063659351708905913
2022-06-24,TSLA,235,-0.016223460057852312
2022-06-25,AAPL,184,0.0015167097294759518
2022-06-25,AMZN,245,-0.000314277376336008
2022-06-25,FB,2100,-0.012896096192620941
2022-06-25,NVDA,67,-0.019518603507682503
2022-06-25,TSLA,89,-0.0079132397473261964
2022-06-26,AAPL,160,0.0067629769940376642
2022-06-26,AMZN,185,-0.0061203491576368764
2022-06-26,FB,1673,-0.011640725557408277
2022-06-26,NVDA,41,-0.016084858252027621
2022-06-26,TSLA,91,-0.012192916751972994
2022-06-27,AAPL,480,0.00770969103984556
2022-06-27,AMZN,411,0.0055917203383510543
2022-06-27,FB,2920,-0.0098718109189381877
2022-06-27,NVDA,79,-0.0078265354566149255
2022-06-27,TSLA,172,-0.00900787841861804
2022-06-28,AAPL,458,0.0040845712112483846
2022-06-28,AMZN,490,0.0020987284411607618
2022-06-28,FB,3590,-0.014325312259183544
2022-06-28,NVDA,101,-0.0077412448819068188
2022-06-28,TSLA,214,-0.011383197617554212
2022-06-29,AAPL,699,-0.0061244884673599918
2022-06-29,AMZN,476,0.0016983373916735496
2022-06-29,FB,3777,-0.013230748034098695
2022-06-29,NVDA,124,-0.00836520868554678
2022-06-29,TSLA,313,-0.015260836107305177
2022-06-30,AAPL,575,0.0075024246630691575
2022-06-30,AMZN,530,0.0010540104642548698
2022-06-30,FB,3721,-0.010235626831859081
2022-06-30,NVDA,111,-0.0019409417088009117
2022-06-30,TSLA,193,-0.012331567300137812
2022-07-01,AAPL,468,9.38127148951938e-05
2022-07-01,AMZN,732,0.0040604643505895207
2022-07-01,FB,3691,-0.010958072494585922
2022-07-01,NVDA,139,-0.0066311309603506573
2022-07-01,TSLA,205,-0.016063063980189616
2022-07-02,AAPL,132,0.0030435206849813586
2022-07-02,AMZN,289,-0.0020172005700468125
2022-07-02,FB,2160,-0.011225321301969829
2022-07-02,NVDA,62,-0.02221355791031495
2022-07-02,TSLA,358,-0.024096406791216076
2022-07-03,AAPL,246,-0.015155948786582763
2022-07-03,AMZN,142,-0.0034147083608757805
2022-07-03,FB,1817,-0.012885152662747408
2022-07-03,NVDA,35,-0.024824041486790252
2022-07-03,TSLA,216,-0.020017040704926766
2022-07-04,AAPL,381,0.0047270744901359617
2022-07-04,AMZN,334,-8.4205623012831684e-05
2022-07-04,FB,3976,-0.011972310425532685
2022-07-04,NVDA,70,-0.0084234135113478124
2022-07-04,TSLA,273,-0.016990117270478042
2022-07-05,AAPL,342,0.0030480258996083216
2022-07-05,AMZN,435,0.0060503191568133914
2022-07-05,FB,3932,-0.010501496599652922
2022-07-05,NVDA,97,-0.0057868578915934244
2022-07-05,TSLA,293,-0.010492270355343308
2022-07-06,AAPL,506,-0.00412168570930347
2022-07-06,AMZN,811,0.0077503295300810375
2022-07-06,FB,3662,-0.0093907041620907555
2022-07-06,NVDA,64,-0.028283049170607168
2022-07-06,TSLA,233,-0.0071049141954185263
2022-07-07,AAPL,527,-0.0046676640053179546
2022-07-07,AMZN,893,0.023965840521062938
2022-07-07,FB,3944,-0.010631223423299358
2022-07-07,NVDA,78,-0.01318299343973516
2022-07-07,TSLA,224,-0.006509409020766071
2022-07-08,AAPL,370,0.0004267602481346787
2022-07-08,AMZN,875,0.015670707531226825
2022-07-08,FB,3505,-0.0090718469338175161
2022-07-08,NVDA,75,-0.02136236516652442
2022-07-08,TSLA,286,-0.0081866770686420971
2022-07-09,AAPL,152,0.0047942776687034351
2022-07-09,AMZN,315,-0.0042969661529520739
2022-07-09,FB,2374,-0.0079780773993868275
2022-07-09,NVDA,54,-0.016372832486917722
2022-07-09,TSLA,196,-0.017933338502226222
2022-07-10,AAPL,136,0.0024192506852689826
2022-07-10,AMZN,207,0.014144823002075719
2022-07-10,FB,1689,-0.012456513854313324
2022-07-10,NVDA,50,-0.031788803950631182
2022-07-10,TSLA,110,-0.0016279097886594076
2022-07-11,AAPL,452,0.0040008919251717937
2022-07-11,AMZN,903,0.017419767046714756
2022-07-11,FB,2960,-0.009015885711477642
2022-07-11,NVDA,85,-0.016207461202532258
2022-07-11,TSLA,205,-0.0106653226040004
2022-07-12,AAPL,617,0.0013346889127882615
2022-07-12,AMZN,2015,0.018544136632312875
2022-07-12,FB,3130,-0.0075929134688460668
2022-07-12,NVDA,91,0.0017931221521713294
2022-07-12,TSLA,174,-0.0010617631128619586
2022-07-13,AAPL,456,0.006984223155701145
2022-07-13,AMZN,1389,0.0095861500939009789
2022-07-13,FB,3374,-0.008543834268118394
2022-07-13,NVDA,77,-0.0010696739821504687
2022-07-13,TSLA,197,-0.0043653514369095458
2022-07-14,AAPL,424,0.011578910216349752
2022-07-14,AMZN,751,0.0028117540045624889
2022-07-14,FB,3508,-0.011055860874084467
2022-07-14,NVDA,93,-0.0099534680088684546
2022-07-14,TSLA,325,-0.0041899078521007316
2022-07-15,AAPL,294,0.0027583742841617476
2022-07-15,AMZN,531,0.0046235123971029527
